,Game Title,Genre
0,Army of Two: The 40th Day,Third-Person
1,Army of Two: The 40th Day,3D
2,Army of Two: The 40th Day,Action
3,Army of Two: The 40th Day,Shooter
4,Army of Two: The 40th Day,Shooter
5,Army of Two: The 40th Day,Third-Person
6,Army of Two: The 40th Day,3D
7,Army of Two: The 40th Day,Action
8,Vancouver 2010 - The Official Video Game of the Olympic Winter Games,Sports
9,Vancouver 2010 - The Official Video Game of the Olympic Winter Games,Sports
10,Puzzlegeddon,Action
11,Puzzlegeddon,Puzzle
12,Serious Sam,3D
13,Serious Sam,Action
14,Serious Sam,First-Person
15,Serious Sam,Shooter
16,Dark Void,Action
17,Dark Void,Action
18,Football Manager 2010,Sports
19,Football Manager 2010,Team-Based
20,Football Manager 2010,Management
21,Football Manager 2010,Soccer
22,Dark Void,Action
23,Mass Effect 2,Role-Playing
24,Mass Effect 2,Action
25,Mass Effect 2,Role-Playing
26,Mass Effect 2,Action
27,Sands of Destruction,Role-Playing
28,Tatsunoko vs. Capcom: Ultimate All-Stars,Action
29,Tatsunoko vs. Capcom: Ultimate All-Stars,2D
30,Tatsunoko vs. Capcom: Ultimate All-Stars,Fighting
31,Dark Void Zero,Action
32,Dark Void Zero,Platformer
33,Dark Void Zero,2D
34,No More Heroes 2: Desperate Struggle,Action
35,No More Heroes 2: Desperate Struggle,3D
36,No More Heroes 2: Desperate Struggle,Beat-'Em-Up
37,Death By Cube,Adventure
38,Vandal Hearts: Flames of Judgment,Turn-Based
39,Vandal Hearts: Flames of Judgment,Strategy
40,Vandal Hearts: Flames of Judgment,Turn-Based
41,Vandal Hearts: Flames of Judgment,Strategy
42,Blood Bowl,Sports
43,Silent Hill: Shattered Memories,Action
44,Silent Hill: Shattered Memories,Adventure
45,Silent Hill: Shattered Memories,Survival
46,Silent Hill: Shattered Memories,3D
47,Just Dance,Music/Rhythm
48,Glory of Heracles,Role-Playing
49,Assassin's Creed II,Adventure
50,Assassin's Creed II,Action
51,The Sky Crawlers: Innocent Aces,Flight
52,The Sky Crawlers: Innocent Aces,Simulation
53,White Knight Chronicles International Edition,Action
54,White Knight Chronicles International Edition,Role-Playing
55,S.T.A.L.K.E.R.: Call of Pripyat,Action
56,S.T.A.L.K.E.R.: Call of Pripyat,First-Person
57,S.T.A.L.K.E.R.: Call of Pripyat,Shooter
58,S.T.A.L.K.E.R.: Call of Pripyat,3D
59,MAG,Shooter
60,MAG,3D
61,MAG,Action
62,MAG,First-Person
63,Hotel Giant 2,Strategy
64,Hotel Giant 2,Management
65,Chime,Music/Rhythm
66,Fast Food Panic,Management
67,Fast Food Panic,Strategy
68,Dante's Inferno,3D
69,Dante's Inferno,Beat-'Em-Up
70,Dante's Inferno,Action
71,Dante's Inferno,Action
72,Dante's Inferno,3D
73,Dante's Inferno,Beat-'Em-Up
74,BioShock 2,Shooter
75,BioShock 2,3D
76,BioShock 2,Action
77,BioShock 2,First-Person
78,BioShock 2,Shooter
79,BioShock 2,3D
80,BioShock 2,Action
81,BioShock 2,First-Person
82,Tank Battles,Action
83,Fret Nice,Music/Rhythm
84,SOCOM: U.S. Navy SEALs Fireteam Bravo 3,Third-Person
85,SOCOM: U.S. Navy SEALs Fireteam Bravo 3,Action
86,SOCOM: U.S. Navy SEALs Fireteam Bravo 3,Shooter
87,SOCOM: U.S. Navy SEALs Fireteam Bravo 3,Tactical
88,Aliens vs. Predator,Shooter
89,Aliens vs. Predator,3D
90,Aliens vs. Predator,Action
91,Aliens vs. Predator,First-Person
92,Aliens vs. Predator,Action
93,Aliens vs. Predator,3D
94,Aliens vs. Predator,First-Person
95,Aliens vs. Predator,Shooter
96,Family Guy Uncensored,Action
97,Crazy Taxi,Driving/Racing
98,Crazy Taxi,Arcade
99,Need for Speed Shift,Driving/Racing
100,Need for Speed Shift,Simulation
101,Beneath a Steel Sky,Adventure
102,Call of Duty: World at War - Zombies,3D
103,Call of Duty: World at War - Zombies,Action
104,Call of Duty: World at War - Zombies,First-Person
105,Call of Duty: World at War - Zombies,Shooter
106,Command & Conquer: Red Alert,Strategy
107,Command & Conquer: Red Alert,Real-Time
108,Dungeon Hunter,Role-Playing
109,Dungeon Hunter,Action
110,Eliminate Pro,Action
111,Indiana Jones and the Lost Puzzles,Puzzle
112,Scrabble (2008),Trivia/Board Game
113,Boggle (1999),Trivia/Board Game
114,Connect 4 (1999),Trivia/Board Game
115,Farm Frenzy,Strategy
116,Shiren the Wanderer,Role-Playing
