,Game Title,Genre
117,Shiren the Wanderer,Roguelike
118,Ace Attorney Investigations: Miles Edgeworth,Adventure
119,Star Trek Online,MMO
120,Star Trek Online,Role-Playing
121,Super Monkey Ball: Step & Roll,Action
122,Darwinia+,Strategy
123,Darwinia+,Real-Time
124,Aliens vs. Predator,Action
125,Aliens vs. Predator,Shooter
126,Aliens vs. Predator,First-Person
127,Aliens vs. Predator,3D
128,The Misadventures of P.B. Winterbottom,Puzzle
129,Dark Void,Action
130,Endless Ocean: Blue World,3D
131,Endless Ocean: Blue World,Third-Person
132,Endless Ocean: Blue World,Adventure
133,Dark Void,Action
134,Heavy Rain,Adventure
135,Heavy Rain,3D
136,Heavy Rain,Third-Person
137,Sonic & Sega All-Stars Racing,Arcade
138,Sonic & Sega All-Stars Racing,Driving/Racing
139,Star Wars: The Force Unleashed,Third-Person
140,Star Wars: The Force Unleashed,3D
141,Star Wars: The Force Unleashed,Action
142,Star Wars: The Force Unleashed,Shooter
143,Sonic & Sega All-Stars Racing,Arcade
144,Sonic & Sega All-Stars Racing,Driving/Racing
145,Sonic & Sega All-Stars Racing,Arcade
146,Sonic & Sega All-Stars Racing,Driving/Racing
147,Tropico 3,Strategy
148,Tropico 3,Management
149,Star Ocean: The Last Hope,Role-Playing
150,Borderlands,Shooter
151,Borderlands,3D
152,Borderlands,Action
153,Borderlands,First-Person
154,Sonic & Sega All-Stars Racing,Arcade
155,Sonic & Sega All-Stars Racing,Driving/Racing
156,World of Outlaws: Sprint Cars,Arcade
157,World of Outlaws: Sprint Cars,Driving/Racing
158,Lunar: The Silver Star,Role-Playing
159,Supreme Commander 2,Strategy
160,Supreme Commander 2,Real-Time
161,Fret Nice,Music/Rhythm
162,Napoleon: Total War,Real-Time
163,Napoleon: Total War,Strategy
164,Puzzle Chronicles,Action
165,Puzzle Chronicles,Puzzle
166,Assassin's Creed II,Adventure
167,Assassin's Creed II,Action
168,Risen,Role-Playing
169,Resident Evil 5,Action
170,Resident Evil 5,Adventure
171,Resident Evil 5,Survival
172,Resident Evil 5,3D
173,Battlefield: Bad Company 2,First-Person
174,Battlefield: Bad Company 2,Shooter
175,Battlefield: Bad Company 2,3D
176,Battlefield: Bad Company 2,Action
177,Battlefield: Bad Company 2,Shooter
178,Battlefield: Bad Company 2,3D
179,Battlefield: Bad Company 2,Action
180,Battlefield: Bad Company 2,First-Person
181,Major League Baseball 2K10,Sports
182,Major League Baseball 2K10,Team-Based
183,Major League Baseball 2K10,Baseball
184,Major League Baseball 2K10,Simulation
185,Lazy Raiders,Action
186,Final Fantasy XIII,Role-Playing
187,Final Fantasy XIII,Role-Playing
188,Major League Baseball 2K10,Baseball
189,Major League Baseball 2K10,Simulation
190,Major League Baseball 2K10,Sports
191,Major League Baseball 2K10,Team-Based
192,Battlefield: Bad Company 2,3D
193,Battlefield: Bad Company 2,Action
194,Battlefield: Bad Company 2,First-Person
195,Battlefield: Bad Company 2,Shooter
196,God of War III,Action
197,God of War III,Adventure
198,Major League Baseball 2K10,Team-Based
199,Major League Baseball 2K10,Baseball
200,Major League Baseball 2K10,Simulation
201,Major League Baseball 2K10,Sports
202,Assassin's Creed II,Action
203,Assassin's Creed II,Adventure
204,Greed Corp,Strategy
205,Greed Corp,Turn-Based
206,Greed Corp,Turn-Based
207,Greed Corp,Strategy
208,Toy Soldiers,Real-Time
209,Toy Soldiers,Strategy
210,Dawn of Discovery: Venice,Simulation
211,MLB 10: The Show,Baseball
212,MLB 10: The Show,Simulation
213,MLB 10: The Show,Sports
214,MLB 10: The Show,Team-Based
215,Yakuza 3,Adventure
216,Yakuza 3,Action
217,Dynasty Warriors: Strikeforce,3D
218,Dynasty Warriors: Strikeforce,Action
219,Dynasty Warriors: Strikeforce,Beat-'Em-Up
220,Bejeweled Twist,Matching/Stacking
221,Bejeweled Twist,Puzzle
222,Command & Conquer 4: Tiberian Twilight,Real-Time
223,Command & Conquer 4: Tiberian Twilight,Strategy
224,Dynasty Warriors: Strikeforce,3D
225,Dynasty Warriors: Strikeforce,Beat-'Em-Up
226,Dynasty Warriors: Strikeforce,Action
227,Dragon Age: Origins,Role-Playing
228,Calling,Adventure
229,Calling,Open-World
230,Calling,3D
231,Calling,Action
232,"Warhammer 40,000: Dawn of War II - Chaos Rising",Real-Time
233,"Warhammer 40,000: Dawn of War II - Chaos Rising",Strategy
234,Scrap Metal (2010),Arcade
235,Scrap Metal (2010),Driving/Racing
236,Perfect Dark,First-Person
237,Perfect Dark,Shooter
238,Perfect Dark,3D
239,Perfect Dark,Action
240,Metro 2033,Action
241,Metro 2033,First-Person
242,Metro 2033,Shooter
243,Metro 2033,3D
244,Blue Toad Murder Files: The Mysteries of Little Riddle,Puzzle
245,Infinite Space,Role-Playing
246,Metro 2033,First-Person
247,Metro 2033,Shooter
248,Metro 2033,3D
249,Metro 2033,Action
250,Just Cause 2,Adventure
251,Just Cause 2,Action
252,Just Cause 2,Action
253,Just Cause 2,Adventure
254,Red Steel 2,First-Person
255,Red Steel 2,Shooter
256,Red Steel 2,3D
257,Red Steel 2,Action
258,Supreme Commander 2,Real-Time
259,Supreme Commander 2,Strategy
260,Silent Hunter 5: Battle of the Atlantic,Simulation
261,Age of Zombies,Adventure
262,Age of Zombies,Survival
263,Age of Zombies,3D
264,Age of Zombies,Action
265,Just Cause 2,Action
266,Just Cause 2,Adventure
267,Major League Baseball 2K10,Team-Based
268,Major League Baseball 2K10,Baseball
269,Major League Baseball 2K10,Simulation
270,Major League Baseball 2K10,Sports
271,Last Rebellion,Role-Playing
272,Resonance of Fate,Role-Playing
273,WarioWare D.I.Y.,Miscellaneous
274,Rugby League 3,Sports
275,Rugby League 3,Team-Based
276,Resonance of Fate,Role-Playing
277,MotoGP 09/10,Driving/Racing
278,MotoGP 09/10,Arcade
279,MotoGP 09/10,Arcade
280,MotoGP 09/10,Driving/Racing
281,Global Agenda,Role-Playing
282,Global Agenda,MMO
283,Section 8,3D
284,Section 8,Action
285,Section 8,First-Person
286,Section 8,Shooter
287,Fragile Dreams: Farewell Ruins of the Moon,Role-Playing
288,Fragile Dreams: Farewell Ruins of the Moon,Action
289,Shatter,Action
290,Mega Man 10,2D
291,Mega Man 10,Platformer
292,Mega Man 10,Action
293,The Settlers 7: Paths to a Kingdom,Strategy
294,The Settlers 7: Paths to a Kingdom,Management
295,Shin Megami Tensei: Strange Journey,Role-Playing
296,Mega Man 10,2D
297,Mega Man 10,Platformer
298,Mega Man 10,Action
299,Mega Man 10,Platformer
300,Mega Man 10,Action
301,Mega Man 10,2D
302,Rooms: The Main Building,Puzzle
303,Mass Effect 2,Action
304,Mass Effect 2,Role-Playing
305,Mass Effect 2,Action
306,Mass Effect 2,Role-Playing
307,Alice in Wonderland (2010),Adventure
308,Alice in Wonderland (2010),Action
309,Tom Clancy's Splinter Cell: Conviction,Adventure
310,Tom Clancy's Splinter Cell: Conviction,Action
311,Prison Break: The Conspiracy,Adventure
312,Mimana Iyar Chronicle,Role-Playing
313,Alice in Wonderland (2010),Adventure
314,Alice in Wonderland (2010),Action
315,Prison Break: The Conspiracy,Adventure
316,Grand Theft Auto: Episodes from Liberty City,Compilation
317,Prison Break: The Conspiracy,Adventure
318,Pokemon HeartGold / SoulSilver Version,Role-Playing
319,Pokemon HeartGold / SoulSilver Version,Management
320,Pokemon HeartGold / SoulSilver Version,Role-Playing
321,Pokemon HeartGold / SoulSilver Version,Management
322,Lead and Gold: Gangs of the Wild West,Third-Person
323,Lead and Gold: Gangs of the Wild West,3D
324,Lead and Gold: Gangs of the Wild West,Action
325,Lead and Gold: Gangs of the Wild West,Shooter
326,Majesty 2: The Fantasy Kingdom Sim,Strategy
327,Uncharted 2: Among Thieves,Adventure
328,Uncharted 2: Among Thieves,Action
329,Grand Theft Auto: Episodes from Liberty City,Compilation
330,Deadly Premonition,Adventure
331,Deadly Premonition,Action
332,Final Fight: Double Impact,Compilation
333,Final Fight: Double Impact,Compilation
334,Fat Princess,Action
335,The Misadventures of P.B. Winterbottom,Puzzle
336,Again,Adventure
337,Mount & Blade: Warband,Role-Playing
338,Beat Hazard,Shooter
339,Beat Hazard,2D
340,Beat Hazard,Action
341,Beat Hazard,Fixed-Screen
342,Out of the Park Baseball 11,Baseball
343,Out of the Park Baseball 11,Simulation
344,Out of the Park Baseball 11,Sports
345,Out of the Park Baseball 11,Team-Based
346,The Secret of Monkey Island,Adventure
347,Star Wars: Dark Forces,3D
348,Star Wars: Dark Forces,Action
349,Star Wars: Dark Forces,First-Person
350,Star Wars: Dark Forces,Shooter
351,3D Dot Game Heroes,Action
352,3D Dot Game Heroes,Role-Playing
353,After Burner Climax,Flight
354,After Burner Climax,Simulation
355,After Burner Climax,Simulation
356,After Burner Climax,Flight
357,Monster Hunter Tri,Action
358,Monster Hunter Tri,Role-Playing
359,Super Street Fighter IV,2D
360,Super Street Fighter IV,Fighting
361,Super Street Fighter IV,Action
362,Super Street Fighter IV,Fighting
363,Super Street Fighter IV,Action
364,Super Street Fighter IV,2D
365,2010 FIFA World Cup South Africa,Simulation
366,2010 FIFA World Cup South Africa,Soccer
367,2010 FIFA World Cup South Africa,Sports
368,2010 FIFA World Cup South Africa,Team-Based
369,2010 FIFA World Cup South Africa,Simulation
370,2010 FIFA World Cup South Africa,Soccer
371,2010 FIFA World Cup South Africa,Sports
372,2010 FIFA World Cup South Africa,Team-Based
373,Tom Clancy's Splinter Cell: Conviction,Action
374,Tom Clancy's Splinter Cell: Conviction,Adventure
375,Dead to Rights: Retribution,Third-Person
376,Dead to Rights: Retribution,3D
377,Dead to Rights: Retribution,Action
378,Dead to Rights: Retribution,Shooter
379,Dead to Rights: Retribution,Third-Person
380,Dead to Rights: Retribution,3D
381,Dead to Rights: Retribution,Action
382,Dead to Rights: Retribution,Shooter
383,Alan Wake,Adventure
384,Alan Wake,Survival
385,Alan Wake,3D
386,Alan Wake,Action
387,Left 4 Dead 2,Action
388,Left 4 Dead 2,First-Person
389,Left 4 Dead 2,Shooter
390,Left 4 Dead 2,Tactical
391,Dante's Inferno,Beat-'Em-Up
392,Dante's Inferno,Action
393,Dante's Inferno,3D
394,NIER,Role-Playing
395,NIER,Action
396,NIER,Role-Playing
397,NIER,Action
398,Serious Sam HD: The Second Encounter,3D
399,Serious Sam HD: The Second Encounter,Action
400,Serious Sam HD: The Second Encounter,First-Person
401,Serious Sam HD: The Second Encounter,Shooter
402,Tecmo Bowl Throwback,Arcade
403,Tecmo Bowl Throwback,Football (American)
404,Tecmo Bowl Throwback,Sports
405,Tecmo Bowl Throwback,Team-Based
406,2010 FIFA World Cup South Africa,Team-Based
407,2010 FIFA World Cup South Africa,Simulation
408,2010 FIFA World Cup South Africa,Soccer
409,2010 FIFA World Cup South Africa,Sports
410,Heavy Rain,3D
411,Heavy Rain,Third-Person
412,Heavy Rain,Adventure
413,Picross 3D,Puzzle
414,The Whispered World,Adventure
415,Lost Planet 2,Action
416,Lost Planet 2,Shooter
417,Lost Planet 2,Third-Person
418,Lost Planet 2,3D
419,Hyperballoid HD,Action
420,Kick-Ass,Action
421,Kick-Ass,Fighting
422,Kick-Ass,3D
423,Lost Planet 2,Third-Person
424,Lost Planet 2,3D
425,Lost Planet 2,Action
426,Lost Planet 2,Shooter
427,Iron Man 2,Action
428,Prince of Persia: The Forgotten Sands,Action
429,Prince of Persia: The Forgotten Sands,Adventure
430,Skate 3,Skateboarding/Skating
431,Skate 3,Sports
432,Lead and Gold: Gangs of the Wild West,Action
433,Lead and Gold: Gangs of the Wild West,Shooter
434,Lead and Gold: Gangs of the Wild West,Third-Person
435,Lead and Gold: Gangs of the Wild West,3D
436,Skate 3,Skateboarding/Skating
437,Skate 3,Sports
438,Naruto Shippuden: Ultimate Ninja Heroes 3,Fighting
439,Naruto Shippuden: Ultimate Ninja Heroes 3,3D
440,Naruto Shippuden: Ultimate Ninja Heroes 3,Action
441,Split/Second,Arcade
442,Split/Second,Driving/Racing
443,Split/Second,Arcade
444,Split/Second,Driving/Racing
445,Trauma Team,Simulation
446,Split/Second,Arcade
447,Split/Second,Driving/Racing
448,RayStorm,Action
449,RayStorm,Shoot-'Em-Up
450,RayStorm,2D
451,"Sakura Wars: So Long, My Love",Turn-Based
452,"Sakura Wars: So Long, My Love",Strategy
453,Grand Theft Auto: Chinatown Wars,Action
454,Grand Theft Auto: Chinatown Wars,Adventure
455,Hook Champ,Action
456,Jewellust,Matching/Stacking
457,Jewellust,Puzzle
458,Soul of Darkness,Adventure
459,Prince of Persia: The Forgotten Sands,Action
460,Prince of Persia: The Forgotten Sands,Adventure
461,Prince of Persia: The Forgotten Sands,Action
462,Prince of Persia: The Forgotten Sands,Adventure
463,Word Ace,Miscellaneous
464,2010 FIFA World Cup South Africa,Team-Based
465,2010 FIFA World Cup South Africa,Simulation
466,2010 FIFA World Cup South Africa,Soccer
467,2010 FIFA World Cup South Africa,Sports
468,Red Dead Redemption,Adventure
469,Red Dead Redemption,Action
470,Dementium II,Adventure
471,Dementium II,Survival
472,Dementium II,3D
473,Dementium II,Action
474,Red Dead Redemption,Action
475,Red Dead Redemption,Adventure
476,Rocket Knight,Platformer
477,Rocket Knight,2D
478,Rocket Knight,Action
479,Things on Wheels,Driving/Racing
480,Things on Wheels,Arcade
481,Super Mario Galaxy 2,Action
482,Super Mario Galaxy 2,3D
483,Super Mario Galaxy 2,Platformer
484,Sin & Punishment: Star Successor,Action
485,Sin & Punishment: Star Successor,On-Rails
486,Sin & Punishment: Star Successor,Shooter
487,Sin & Punishment: Star Successor,3D
488,Zeno Clash: Ultimate Edition,Shooter
489,Zeno Clash: Ultimate Edition,Action
490,Zeno Clash: Ultimate Edition,First-Person
491,Zeno Clash: Ultimate Edition,Team-Based
492,Zeno Clash: Ultimate Edition,3D
493,Sherlock Holmes: The Mystery of the Persian Carpet,Adventure
494,Sherlock Holmes vs. Jack the Ripper,Adventure
495,Rocket Knight,Platformer
496,Rocket Knight,2D
497,Rocket Knight,Action
498,ModNation Racers,Arcade
499,ModNation Racers,Driving/Racing
500,Blur,Arcade
501,Blur,Driving/Racing
502,Blur,Arcade
503,Blur,Driving/Racing
504,Guns of Icarus,Action
505,UFC Undisputed 2010,Action
506,UFC Undisputed 2010,Fighting
507,UFC Undisputed 2010,Wrestling
508,Bit.Trip Runner,Music/Rhythm
509,UFC Undisputed 2010,Fighting
510,UFC Undisputed 2010,Wrestling
511,UFC Undisputed 2010,Action
512,Alpha Protocol,Role-Playing
513,Alpha Protocol,Role-Playing
514,Alpha Protocol,Role-Playing
515,Naval Warfare,2D
516,Naval Warfare,Action
517,Naval Warfare,Fixed-Screen
518,Naval Warfare,Shooter
519,Metal Slug XX,Action
520,Blur,Driving/Racing
521,Blur,Arcade
522,Runaway: A Twist of Fate,Third-Person
523,Runaway: A Twist of Fate,Adventure
524,Tropico 3,Management
525,Tropico 3,Strategy
526,Doom II,Shooter
527,Doom II,3D
528,Doom II,Action
529,Doom II,First-Person
530,Tom Clancy's Splinter Cell: Conviction,Action
531,Tom Clancy's Splinter Cell: Conviction,Adventure
532,Backbreaker,Team-Based
533,Backbreaker,Arcade
534,Backbreaker,Football (American)
535,Backbreaker,Sports
536,Record of Agarest War,Turn-Based
537,Record of Agarest War,Strategy
538,Backbreaker,Team-Based
539,Backbreaker,Arcade
540,Backbreaker,Football (American)
541,Backbreaker,Sports
542,Record of Agarest War,Strategy
543,Record of Agarest War,Turn-Based
544,Tom Clancy's Splinter Cell: Conviction,Adventure
545,Tom Clancy's Splinter Cell: Conviction,Action
546,Snoopy Flying Ace,Flight
547,Snoopy Flying Ace,Simulation
548,Voodoo Dice,Puzzle
549,Planet Minigolf,Arcade
550,Planet Minigolf,Sports
551,Planet Minigolf,Golf
552,The Sims 3,Simulation
553,Hexyz Force,Role-Playing
554,Plain Sight,Action
555,Metal Gear Solid: Peace Walker,Action
556,Metal Gear Solid: Peace Walker,Adventure
557,Disney/Pixar Toy Story 3,Action
558,ModNation Racers,Arcade
559,ModNation Racers,Driving/Racing
560,Tiger Woods PGA Tour 11,Simulation
561,Tiger Woods PGA Tour 11,Sports
562,Tiger Woods PGA Tour 11,Golf
563,Tiger Woods PGA Tour 11,Simulation
564,Tiger Woods PGA Tour 11,Sports
565,Tiger Woods PGA Tour 11,Golf
566,Armored Core: Last Raven Portable,Simulation
567,Tiger Woods PGA Tour 11,Simulation
568,Tiger Woods PGA Tour 11,Sports
569,Tiger Woods PGA Tour 11,Golf
570,Jam with the Band,Music/Rhythm
571,Joe Danger,Arcade
572,Joe Danger,Driving/Racing
573,Green Day: Rock Band,Music/Rhythm
574,Green Day: Rock Band,Music/Rhythm
575,Disney/Pixar Toy Story 3,Action
576,LEGO Harry Potter: Years 1-4,Action
577,LEGO Harry Potter: Years 1-4,Adventure
578,LEGO Harry Potter: Years 1-4,Action
579,LEGO Harry Potter: Years 1-4,Adventure
580,Naughty Bear,Action
581,Transformers: War for Cybertron,3D
582,Transformers: War for Cybertron,Action
583,Transformers: War for Cybertron,Adventure
584,Transformers: War for Cybertron,Open-World
585,Transformers: War for Cybertron,Open-World
586,Transformers: War for Cybertron,3D
587,Transformers: War for Cybertron,Action
588,Transformers: War for Cybertron,Adventure
589,LEGO Harry Potter: Years 1-4,Action
590,LEGO Harry Potter: Years 1-4,Adventure
591,RISK: Factions,Strategy
592,RISK: Factions,Turn-Based
593,Earthworm Jim HD,Action
594,Earthworm Jim HD,2D
595,Earthworm Jim HD,Platformer
596,Singularity,Action
597,Singularity,First-Person
598,Singularity,Shooter
599,Singularity,3D
600,Trinity Universe,Role-Playing
601,Singularity,Shooter
602,Singularity,3D
603,Singularity,Action
604,Singularity,First-Person
605,Monster Racers,Action
606,Monster Racers,Role-Playing
607,Puzzle Quest 2,Action
608,Puzzle Quest 2,Puzzle
609,Mass Effect 2,Role-Playing
610,Mass Effect 2,Action
611,Space Ark,Action
612,Tales of Monkey Island,3D
613,Tales of Monkey Island,Adventure
614,Tales of Monkey Island,Third-Person
615,Mass Effect 2,Role-Playing
616,Mass Effect 2,Action
617,Singularity,Action
618,Singularity,First-Person
619,Singularity,Shooter
620,Singularity,3D
621,Naughty Bear,Action
622,LEGO Harry Potter: Years 1-4,Action
623,LEGO Harry Potter: Years 1-4,Adventure
624,Puzzle Agent,Puzzle
625,Puzzle Quest 2,Puzzle
626,Puzzle Quest 2,Action
627,Pure Futbol,Arcade
628,Pure Futbol,Soccer
629,Pure Futbol,Sports
630,Pure Futbol,Team-Based
631,Making History II: The War of the World,Strategy
632,Making History II: The War of the World,Turn-Based
633,Hot Shots Tennis: Get a Grip,Tennis
634,Hot Shots Tennis: Get a Grip,Sports
635,Metal Gear Solid: Touch,3D
636,Metal Gear Solid: Touch,Action
637,Metal Gear Solid: Touch,On-Rails
638,Metal Gear Solid: Touch,Shooter
639,Minigore,Action
640,Need for Speed Shift,Driving/Racing
641,Need for Speed Shift,Simulation
642,N.O.V.A. - Near Orbit Vanguard Alliance,Action
643,N.O.V.A. - Near Orbit Vanguard Alliance,First-Person
644,N.O.V.A. - Near Orbit Vanguard Alliance,Shooter
645,N.O.V.A. - Near Orbit Vanguard Alliance,3D
646,Crackdown 2,Adventure
647,Crackdown 2,Action
648,Ravensword: The Fallen King,Role-Playing
649,Robo Defense,Adventure
650,The Sims 3,Simulation
651,Spider-Man Toxic City,Action
652,Spider-Man Toxic City,Beat-'Em-Up
653,Spider-Man Toxic City,2D
654,The Simpsons Arcade Game,Beat-'Em-Up
655,The Simpsons Arcade Game,2D
656,The Simpsons Arcade Game,Action
657,World Series of Poker Hold'em Legend,Gambling
658,Wumpus,Puzzle
659,Zombie Infection,Shooter
660,Zombie Infection,Third-Person
661,Zombie Infection,3D
662,Zombie Infection,Action
663,Pure Futbol,Arcade
664,Pure Futbol,Soccer
665,Pure Futbol,Sports
666,Pure Futbol,Team-Based
667,Tetris Party Deluxe,Matching/Stacking
668,Tetris Party Deluxe,Puzzle
669,Tetris Party Deluxe,Matching/Stacking
670,Tetris Party Deluxe,Puzzle
671,Dragon Ball: Origins 2,Adventure
672,Dragon Ball: Origins 2,Action
673,International Cricket 2010,Cricket
674,International Cricket 2010,Sports
675,International Cricket 2010,Team-Based
676,Blue Dragon: Awakened Shadow,Action
677,Blue Dragon: Awakened Shadow,Role-Playing
678,Transformers: War for Cybertron,Adventure
679,Transformers: War for Cybertron,Open-World
680,Transformers: War for Cybertron,3D
681,Transformers: War for Cybertron,Action
682,Age of Conan: Hyborian Adventures,Role-Playing
683,Age of Conan: Hyborian Adventures,MMO
684,Sniper: Ghost Warrior,Action
685,Sniper: Ghost Warrior,First-Person
686,Sniper: Ghost Warrior,Shooter
687,Sniper: Ghost Warrior,Tactical
688,APB,MMO
689,APB,Role-Playing
690,Tournament of Legends,3D
691,Tournament of Legends,Fighting
692,Tournament of Legends,Action
693,Monkey Island 2: LeChuck's Revenge,Adventure
694,Monkey Island 2: LeChuck's Revenge,Adventure
695,Monkey Island 2: LeChuck's Revenge,Adventure
696,N3II: Ninety-Nine Nights,Action
697,N3II: Ninety-Nine Nights,2D
698,N3II: Ninety-Nine Nights,Beat-'Em-Up
699,NCAA Football 11,Football (American)
700,NCAA Football 11,Simulation
701,NCAA Football 11,Sports
702,NCAA Football 11,Team-Based
703,NCAA Football 11,Sports
704,NCAA Football 11,Team-Based
705,NCAA Football 11,Football (American)
706,NCAA Football 11,Simulation
707,International Cricket 2010,Cricket
708,International Cricket 2010,Sports
709,International Cricket 2010,Team-Based
710,Ancients of Ooga,Action
711,Dragon Age: Origins,Role-Playing
712,DeathSmiles,2D
713,DeathSmiles,Action
714,DeathSmiles,Shoot-'Em-Up
715,Dragon Quest IX: Sentinels of the Starry Skies,Role-Playing
716,ArmA II: Operation Arrowhead,Team-Based
717,ArmA II: Operation Arrowhead,First-Person
718,ArmA II: Operation Arrowhead,3D
719,ArmA II: Operation Arrowhead,Shooter
720,ArmA II: Operation Arrowhead,Action
721,Blacklight: Tango Down,First-Person
722,Blacklight: Tango Down,Shooter
723,Blacklight: Tango Down,Team-Based
724,Blacklight: Tango Down,3D
725,Blacklight: Tango Down,Action
726,DeathSpank,Action
727,DeathSpank,Role-Playing
728,DeathSpank,Action
729,DeathSpank,Role-Playing
730,Landit Bandit,Simulation
731,Landit Bandit,Flight
732,Sniper: Ghost Warrior,Action
733,Sniper: Ghost Warrior,First-Person
734,Sniper: Ghost Warrior,Shooter
735,Sniper: Ghost Warrior,Tactical
736,Deadliest Warrior: The Game,3D
737,Deadliest Warrior: The Game,Action
738,Deadliest Warrior: The Game,Fighting
739,LIMBO,Action
740,LIMBO,Platformer
741,LIMBO,2D
742,Shin Megami Tensei: Persona 3 Portable,Role-Playing
743,DarkStar One: Broken Alliance,Simulation
744,Dance on Broadway,Music/Rhythm
745,Little League World Series Baseball 2010,Baseball
746,Little League World Series Baseball 2010,Sports
747,Little League World Series Baseball 2010,Team-Based
748,Little League World Series Baseball 2010,Arcade
749,Little League World Series Baseball 2010,Sports
750,Little League World Series Baseball 2010,Team-Based
751,Little League World Series Baseball 2010,Arcade
752,Little League World Series Baseball 2010,Baseball
753,Prince of Persia: The Forgotten Sands,Action
754,Prince of Persia: The Forgotten Sands,Adventure
755,Rhythm Zone (2010),Music/Rhythm
756,LEGO Harry Potter: Years 1-4,Adventure
