,Game Title,Platform
0,Army of Two: The 40th Day,PlayStation 3
1,Army of Two: The 40th Day,Xbox 360
2,Vancouver 2010 - The Official Video Game of the Olympic Winter Games,Xbox 360
3,Vancouver 2010 - The Official Video Game of the Olympic Winter Games,PlayStation 3
4,Puzzlegeddon,PlayStation 3
5,Serious Sam,Xbox 360
6,Dark Void,PlayStation 3
7,Dark Void,Xbox 360
8,Football Manager 2010,PSP
9,Dark Void,PC
10,Mass Effect 2,Xbox 360
11,Mass Effect 2,PC
12,Sands of Destruction,DS
13,Tatsunoko vs. Capcom: Ultimate All-Stars,Wii
14,Dark Void Zero,DS
15,No More Heroes 2: Desperate Struggle,Wii
16,Death By Cube,Xbox 360
17,Vandal Hearts: Flames of Judgment,Xbox 360
18,Vandal Hearts: Flames of Judgment,PlayStation 3
19,Blood Bowl,Xbox 360
20,Silent Hill: Shattered Memories,PSP
21,Just Dance,Wii
22,Glory of Heracles,DS
23,Assassin's Creed II,Xbox 360
24,The Sky Crawlers: Innocent Aces,Wii
25,White Knight Chronicles International Edition,PlayStation 3
26,S.T.A.L.K.E.R.: Call of Pripyat,PC
27,MAG,PlayStation 3
28,Hotel Giant 2,PC
29,Chime,Xbox 360
30,Fast Food Panic,Wii
31,Dante's Inferno,Xbox 360
32,Dante's Inferno,PlayStation 3
33,BioShock 2,Xbox 360
34,BioShock 2,PlayStation 3
35,Tank Battles,PlayStation 3
36,Fret Nice,PlayStation 3
37,SOCOM: U.S. Navy SEALs Fireteam Bravo 3,PSP
38,Aliens vs. Predator,PlayStation 3
39,Aliens vs. Predator,Xbox 360
40,Family Guy Uncensored,Android
41,Crazy Taxi,BlackBerry
42,Need for Speed Shift,BlackBerry
43,Beneath a Steel Sky,iOS (iPhone/iPad)
44,Call of Duty: World at War - Zombies,iOS (iPhone/iPad)
45,Command & Conquer: Red Alert,iOS (iPhone/iPad)
46,Dungeon Hunter,iOS (iPhone/iPad)
47,Eliminate Pro,iOS (iPhone/iPad)
48,Indiana Jones and the Lost Puzzles,Windows Mobile
49,Scrabble (2008),Windows Mobile
50,Boggle (1999),Palm webOS
51,Connect 4 (1999),Palm webOS
52,Farm Frenzy,Android
53,Shiren the Wanderer,Wii
54,Ace Attorney Investigations: Miles Edgeworth,DS
55,Star Trek Online,PC
56,Super Monkey Ball: Step & Roll,Wii
57,Darwinia+,Xbox 360
58,Aliens vs. Predator,PC
59,The Misadventures of P.B. Winterbottom,Xbox 360
60,Dark Void,PlayStation 3
61,Endless Ocean: Blue World,Wii
62,Dark Void,Xbox 360
63,Heavy Rain,PlayStation 3
64,Sonic & Sega All-Stars Racing,Xbox 360
65,Star Wars: The Force Unleashed,PlayStation 3
66,Sonic & Sega All-Stars Racing,PlayStation 3
67,Sonic & Sega All-Stars Racing,Wii
